PDatTime;Age;TEMP;JTEMP;STIRR;pH;pO2;AIRSP;MFC_B;MFC_C;MFC_D;VALVE_A;O2SP;VALVE_C;VALVE_D;PUMP_A;PUMP_B;SUBS_A;SUBS_B;SUBS_C;PUMPT_A;FOAMT;ACIDT;BASET;SUBST_A;SUBST_B;SUBST_C;VALVET_A;O2SPT;VALVET_C;VALVET_D;EXT_A;EXT_B;BALANCE_A;BALANCE_B;FLOW_A;REDOX;TURB;pHo;pO2o;EO2;ECO2;AIROV;N2SP;CO2SP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(°C);(°C);(rpm);(pH);(%sat);(lpm);(lpm);(lpm);(lpm);(%);(%);(%);(%);(%);(%);(%);(%);(%);(ml);(ml);(ml);(ml);(ml);(ml);(ml);(l);(l);(l);(l);(%);(%);(g);(kg);(g/h);(mV);(AU);(pH);(%sat);(%);(%);(lpm);(%);(lpm)
24.11.2020 10:24:14;0;31,995;32,205;700;5,133;85,14;0,50115;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50115;0;0
24.11.2020 10:29:14;8,33333333333333E-02;31,995;32,1525;700;5,188025;84,3929166666667;0,50115;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50115;0;0
24.11.2020 10:34:14;0,166666666666667;31,995;32,1525;700;5,19950833333333;83,695;0,50115;0;0;0;0,5;0;0;0;0;0;2,22916666666667;0;0;0;0;0;0;0,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50115;0;0
24.11.2020 10:39:14;0,25;31,995;32,1525;700;5,1895;83,27;0,50115;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;1,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50115;0;0
24.11.2020 10:44:14;0,333333333333333;32,0475;31,8975;700;5,21136666666667;82,93;0,500925;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;2,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500925;0;0
24.11.2020 10:49:14;0,416666666666667;32,0475;31,8975;700;5,21695833333333;82,83;0,500775;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;3,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500775;0;0
24.11.2020 10:54:14;0,5;31,995;32,1;700;5,19091666666667;83,04;0,500775;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;4,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500775;0;0
24.11.2020 10:59:14;0,583333333333333;31,995;32,1;700;5,242725;82,645;0,500775;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;5,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500775;0;0
