ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.87 min;Peak 23.94 min;Peak 24.21 min;OD 600;OD standardabweichung;CDW_calc;RF [mg/L];RF standardabweichung;SampleVolume [g]
07.12.2021 16:09;0.05;27.36911876;0;8.788598248;0;83304;0;0.2182;;0.08005758;1.024137931;;6.28
08.12.2021 08:10;16.07;29.12676859;0;9.708572438;0;67339;0;0.500866667;0.011548737;0.18376798;22.89655172;6.692498507;5.78
08.12.2021 08:59;16.88;29.83509837;0.900382079;10.22062342;0;60386;0;0.642466667;0.013571048;0.23572102;33.93103448;1.794097867;5.05
08.12.2021 09:56;17.83;29.52859462;0;9.95064266;0;72255;0;0.767533333;0.010108083;0.28160798;46.6091954;5.267441255;4.85
08.12.2021 10:50;18.73;31.03553911;0.788628917;10.30811221;0;65785;0;0.916866667;0.012890824;0.33639838;58.47126437;11.00461115;5.27
08.12.2021 11:59;19.88;33.61040311;0.675411916;9.924879089;0;87124;0;1.107466667;0.024888819;0.40632952;55.08045977;1.759747216;4.81
08.12.2021 12:57;20.85;36.44720963;1.338886672;9.851882304;0;0;0;1.290666667;0.019861856;0.4735456;66.17241379;1.672324918;4.27
08.12.2021 13:20;21.23;40.45772016;1.436583748;9.867984536;0;49006;0;1.770333333;0.07869138;0.6495353;82.88505747;0.455294306;2.42
08.12.2021 14:56;22.83;42.05804947;1.373582074;9.97050208;0;33511;0;2.079666667;0.192645616;0.7630297;90.13793103;0.948119109;0.79
08.12.2021 15:35;23.48;45.24320856;1.191047056;9.834169848;0;0;0;2.339666667;0.056976603;0.8584237;100.7011494;2.144132644;2.78
08.12.2021 16:12;24.1;47.67276421;1.795992529;9.69944784;0;0;0;2.651666667;0.179734063;0.9728965;116.6781609;1.498843523;3.85
09.12.2021 08:12;40.1;60.61489478;5.450817511;10.27644449;1410800;0;249270;34.64;0.582065288;12.709416;1252.068966;17.12720819;3.74
09.12.2021 08:55;40.82;58.49145539;6.136799798;8.561020035;1688400;0;297240;39.75333333;0.803886393;14.585498;1379.655172;51.03797751;3.43
09.12.2021 09:37;41.52;64.2960397;6.605470789;9.693006948;2194300;0;375890;43.49333333;0.841268883;15.957704;1602.298851;96.56424385;3.68
09.12.2021 10:21;42.25;59.16181126;6.419215518;9.140163647;2180000;0;376320;44.50833333;0.881367309;16.3301075;1612.528736;130.3746241;3.13
09.12.2021 11:15;43.15;63.93954988;7.259345675;11.1744123;2623200;0;461480;37.85666667;11.24484919;13.889611;1654.252874;46.9906932;4.19
09.12.2021 12:09;44.05;56.92987497;6.54206474;10.95273823;2526300;0;428690;46.16666667;1.054340236;16.93855;1740.804598;71.72855866;3.53
09.12.2021 13:06;45;53.93846035;6.694595109;9.344661994;2599000;0;501850;46.31466667;1.841136968;16.9928512;1849.885057;27.89766703;4.33
09.12.2021 14:30;46.4;53.67884277;6.470652059;11.05257207;3048500;0;526190;42.63;0.982445927;15.640947;2105.747126;67.01050846;3.89
09.12.2021 15:31;47.42;54.4344462;6.687235478;11.01661042;3186400;0;526100;59.53666667;5.36637991;21.844003;2024.827586;29.90074743;3.64
10.12.2021 07:48;63.7;8.060544916;0;12.63542148;4523900;0;1275900;53.15;1.064377752;19.500735;3644.827586;172.8270908;4.02
10.12.2021 08:38;64.53;2.503759781;0;13.10453318;5210000;0;1263800;58.53333333;1.530239633;21.47588;3858.62069;76.09681549;4.31
10.12.2021 08:40;64.57;0;0;16.27237896;5434100;0;1356200;53.15;1.064377752;19.500735;3975.862069;77.64365689;4.01
10.12.2021 09:52;65.77;0;0;13.44965768;6457400;0;1150900;58.53333333;1.530239633;21.47588;4093.103448;90.44742792;4.63
