BatchId;PDatTime;;ProcessTime;ACIDT_2;AIROV_2;AIROV_2;AIROV_2;AIROV_2;AIRSP_2;AIRSP_2;AIRSP_2;AIRSP_2;BALANCE_A2;BALANCE_B2;BASET_2;CO2SP_2;CO2SP_2;CO2SP_2;CO2SP_2;ECO2_2;EO2_2;EXT_A2;EXT_B2;FLOW_A2;FLOW_A2;FLOW_A2;FLOW_A2;FOAMT_2;JTEMP_2;JTEMP_2;JTEMP_2;JTEMP_2;MFC_B2;MFC_C2;MFC_D2;N2SP_2;N2SP_2;N2SP_2;N2SP_2;O2SP_2;O2SP_2;O2SP_2;O2SP_2;O2SPT_2;pH_2;pH_2;pH_2;pH_2;pHo_2;pO2_2;pO2_2;pO2_2;pO2_2;pO2o_2;PUMP_A2;PUMP_A2;PUMP_A2;PUMP_A2;PUMP_B2;PUMP_B2;PUMP_B2;PUMP_B2;PUMPT_A2;REDOX_2;STIRR_2;STIRR_2;STIRR_2;STIRR_2;SUBS_A2;SUBS_A2;SUBS_A2;SUBS_A2;SUBS_B2;SUBS_B2;SUBS_B2;SUBS_B2;SUBS_C2;SUBS_C2;SUBS_C2;SUBS_C2;SUBST_A2;SUBST_B2;SUBST_C2;TEMP_2;TEMP_2;TEMP_2;TEMP_2;TURB_2;VALVE_A2;VALVE_C2;VALVE_D2;VALVET_A2;VALVET_C2;VALVET_D2
;;;Value;Value;Setpoint;Output;Mode;Value;Mode;Value;Setpoint;Output;Value;Value;Value;Value;Output;Mode;Setpoint;Value;Value;Value;Value;Value;Setpoint;Output;Mode;Value;Value;Setpoint;Mode;Output;Value;Value;Value;Mode;Setpoint;Value;Output;Setpoint;Output;Mode;Value;Value;Mode;Setpoint;Output;Value;Value;Setpoint;Output;Mode;Value;Value;Value;Mode;Setpoint;Output;Setpoint;Output;Mode;Value;Value;Value;Value;Output;Mode;Setpoint;Output;Setpoint;Mode;Value;Value;Mode;Output;Setpoint;Mode;Setpoint;Value;Output;Value;Value;Value;Value;Setpoint;Mode;Output;Value;Value;Value;Value;Value;Value;Value
;Fstart;07.12.2021 16:06;hours;ml;lpm;%;;lpm;;lpm;lpm;%;g;kg;ml;lpm;%;;lpm;%;%;%;%;g/h;g/h;%;;ml;°C;°C;;%;lpm;lpm;lpm;;%;%;%;%;%;;%;l;;pH;%;pH;pH;%sat;%;;%sat;%sat;%;;%;%;%;%;;%;ml;mV;rpm;%;;rpm;%;%;;%;%;;%;%;;%;%;%;ml;ml;ml;°C;°C;;%;AU;%;%;%;l;l;l
;;F- Time [h];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HM_4.20211207;07.12.2021 16:06;0.01;0.969333333;0;0;0;0;0.501;1;0.501;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.2;38.235;2;17.36;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.002;-0.0002;20;0;0;98.79;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;36.9;37.005;1;25.49;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:07;0.02;0.986036111;0;0;0;0;0.5013;1;0.5013;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.875;38.94;2;17.67;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.004;-0.0002;20;0;0;99.32;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;36.795;37.005;1;25.96;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:08;0.04;1.002741667;0;0;0;0;0.5013;1;0.5013;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.205;37.74;2;-7.75;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.004;-0.0002;20;0;0;99.71;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37.005;37.005;1;25.16;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:09;0.06;1.019436111;0;0;0;0;0.50115;1;0.50115;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.395;37.095;2;-5.01;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.004;-0.0002;20;0;0;100.03;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37.095;37.005;1;24.73;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:10;0.07;1.036130556;0;0;0;0;0.50115;1;0.50115;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.795;37.065;2;4.34;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.004;-0.0002;20;0;0;99.9;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37.095;37.005;1;24.71;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:11;0.09;1.052819444;0;0;0;0;0.50085;1;0.50085;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.005;37.68;2;11.22;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.002;-0.0002;20;0;0;99.96;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37.005;37.005;1;25.12;0;0.5;0;0;0;0;0
HM_4.20211207;07.12.2021 16:12;0.11;1.069519444;0;0;0;0;0.5007;1;0.5007;0.49995;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.245;37.68;2;7.05;0;0;0;0;0;0;0;0;0;0;0;9841;1;7;0;7.002;-0.0002;20;0;0;100.08;0;0;0;0;0;0;0;0;0;0;0;500;25;1;500;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37.005;37.005;1;25.12;0;0.5;0;0;0;0;0
