ts;t;cX;cS;cE;cGly;cP
09.12.2020 09:39;0;NA;NA;NA;NA;NA
09.12.2020 09:48;0.15;1.6;1.41882026;0;0;1.019774778
09.12.2020 10:09;0.5;1.65;0.974615238;0;0;0.854965755
09.12.2020 10:28;0.816666667;1.95;1.197613776;0.427983028;0.311711215;0.975414777
09.12.2020 10:51;1.2;2.15;1.068436655;0.733414763;0.501204866;1.013156145
09.12.2020 11:19;1.666666667;2.45;0.693449662;1.256505131;0.541990251;0.914280836
09.12.2020 11:42;2.05;2.95;0.287710301;1.503562337;0.411566113;0.851984844
09.12.2020 11:57;2.3;3.3;0;0.91110049;0.529715038;0.879823523
09.12.2020 12:19;2.666666667;3.35;0;1.746745518;0.476352509;0.888412589
09.12.2020 12:40;3.016666667;4;0;2.09056533;0.615592032;0.843092634
09.12.2020 13:06;3.45;4.5;0;2.164347917;0.660287667;0.825005071
09.12.2020 13:25;3.766666667;4.75;0;2.277046857;0.651378238;0.774784296
09.12.2020 14:19;4.666666667;6;0;2.069258187;0.647270001;0.734314637
09.12.2020 14:49;5.166666667;6.75;0;2.095143724;0.497047132;0.782918647
09.12.2020 15:24;5.75;7.7;0;1.922837611;0.596882232;0.674090125
09.12.2020 15:54;6.25;8.55;0;1.645228426;0.479980627;0.660196048
09.12.2020 16:40;7.016666667;10.35;0;0.962343289;0.208856809;0.560916547
09.12.2020 17:17;7.633333333;11.65;0;0.579378205;0;0.536867162
09.12.2020 17:30;7.85;11.9;0;0;0;0.491622992
09.12.2020 17:52;8.216666667;12.7;0;0;0;0.43530398
09.12.2020 18:06;8.45;12.75;0;0;0;0.427725392
10.12.2020 08:33;22.9;29.1;0;0;0;0
10.12.2020 09:30;23.85;32.1;0;0;0;0
10.12.2020 10:11;24.53333333;28.5;0;0;0;0
10.12.2020 11:03;25.4;23.23333333;0;0;0;0
