PDatTime;Age;TEMP;JTEMP;STIRR;pH;pO2;AIRSP;MFC_B;MFC_C;MFC_D;VALVE_A;O2SP;VALVE_C;VALVE_D;PUMP_A;PUMP_B;SUBS_A;SUBS_B;SUBS_C;PUMPT_A;FOAMT;ACIDT;BASET;SUBST_A;SUBST_B;SUBST_C;VALVET_A;O2SPT;VALVET_C;VALVET_D;EXT_A;EXT_B;BALANCE_A;BALANCE_B;FLOW_A;REDOX;TURB;pHo;pO2o;EO2;ECO2;AIROV;N2SP;CO2SP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(°C);(°C);(rpm);(pH);(%sat);(lpm);(lpm);(lpm);(lpm);(%);(%);(%);(%);(%);(%);(%);(%);(%);(ml);(ml);(ml);(ml);(ml);(ml);(ml);(l);(l);(l);(l);(%);(%);(g);(kg);(g/h);(mV);(AU);(pH);(%sat);(%);(%);(lpm);(%);(lpm)
09.12.2020 09:41:18;0;31,995;33,945;700;5,349;85,28;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
09.12.2020 09:46:18;8,33333333333333E-02;31,95;32,689125;700;5,24725833333333;76,0250833333333;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;1,23333333333333E-02;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
09.12.2020 09:51:18;0,166666666666667;31,95;32,4;700;5,24889166666667;71,67775;0,501;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;6,45833333333333E-02;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501;0;0
09.12.2020 09:56:18;0,25;32,0475;31,95;700;5,22819166666667;67,7985;0,501;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0,103333333333333;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501;0;0
09.12.2020 10:01:18;0,333333333333333;32,1;31,905;700;5,22905833333333;65,4285833333333;0,501;0;0;0;0,5;0;0;0;0;0;1,39583333333333;0;0;0;0;0;0,144916666666667;0,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501;0;0
09.12.2020 10:06:18;0,416666666666667;32,1;32,1;700;5,23069166666667;64,66;0,501075;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0,176583333333333;1,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501075;0;0
09.12.2020 10:11:18;0,5;32,0475;32,295;700;5,20760833333333;64,625;0,501;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0,219;2,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501;0;0
09.12.2020 10:16:18;0,583333333333333;31,995;32,1975;700;5,21715;64,405;0,5007;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0,251666666666667;3,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,5007;0;0
