Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
30.11.2020 10:17:12;  0.00;  0.062;;1.020
30.11.2020 10:18:13;  1.00;  0.097;;1.020
30.11.2020 10:19:13;  2.00;  0.146;;1.020
30.11.2020 10:20:13;  3.00;  0.197;;1.020
30.11.2020 10:21:13;  4.00;  0.243;;1.020
30.11.2020 10:22:13;  5.00;  0.282;;1.020
30.11.2020 10:23:13;  6.00;  0.320;;1.020
30.11.2020 10:24:13;  7.00;  0.353;;1.020
30.11.2020 10:25:13;  8.00;  0.379;;1.020
30.11.2020 10:26:13;  9.00;  0.399;;1.020
30.11.2020 10:27:13; 10.00;  0.422;;1.020
30.11.2020 10:28:13; 11.00;  0.436;;1.020
30.11.2020 10:29:13; 12.02;  0.454;;1.020
30.11.2020 10:30:13; 13.00;  0.470;;1.020
30.11.2020 10:31:13; 14.00;  0.481;;1.020
30.11.2020 10:32:13; 15.02;  0.495;;1.020
30.11.2020 10:33:13; 16.00;  0.503;;1.020
30.11.2020 10:34:13; 17.00;  0.513;;1.020
30.11.2020 10:35:13; 18.00;  0.521;;1.020
30.11.2020 10:36:13; 19.00;  0.525;;1.020
30.11.2020 10:37:13; 20.00;  0.535;;1.020
30.11.2020 10:38:13; 21.00;  0.541;;1.020
30.11.2020 10:39:13; 22.00;  0.549;;1.020
30.11.2020 10:40:13; 23.00;  0.555;;1.020
30.11.2020 10:41:13; 24.00;  0.556;;1.020
30.11.2020 10:42:13; 25.02;  0.563;;1.020
30.11.2020 10:43:13; 26.00;  0.565;;1.020
30.11.2020 10:44:13; 27.00;  0.573;;1.020
30.11.2020 10:45:13; 28.02;  0.578;;1.020
30.11.2020 10:46:13; 29.00;  0.586;;1.020
30.11.2020 10:47:13; 30.00;  0.588;;1.020
30.11.2020 10:48:13; 31.02;  0.597;;1.020
30.11.2020 10:49:13; 32.00;  0.606;;1.020
30.11.2020 10:50:13; 33.00;  0.607;;1.020
30.11.2020 10:51:13; 34.02;  0.609;;1.020
30.11.2020 10:52:12; 35.00;  0.617;;1.020
