ts;t;cX;cS;cE;cGly;cP
30.11.2020 10:16;0;NA;2.831676206;NA;NA;1.096015372
30.11.2020 10:24;0.133333333;1.4;2.642565382;0;0;1.104200247
30.11.2020 10:53;0.616666667;1.6;2.212599947;0;0;1.069288219
30.11.2020 11:07;0.85;1.6;2.549545443;0;0.140764025;1.055697284
30.11.2020 11:34;1.3;2;2.034154881;0;0.115352354;0.813687713
30.11.2020 12:02;1.766666667;3.1;2.091215035;1.181796649;0.28464635;0.943281565
30.11.2020 12:23;2.116666667;2.6;1.780947143;1.506312819;0.536644594;0.97016029
30.11.2020 12:52;2.6;3.55;1.256380067;2.246494122;0.667761687;1.010629949
30.11.2020 13:20;3.066666667;3.55;0.703807947;2.709996301;0.708101601;0.88042981
30.11.2020 13:41;3.416666667;3.9;0.399487123;2.49814653;0.732751021;0.856127805
30.11.2020 14:19;4.05;4.3;0.146503928;3.533292161;0.77487282;0.887856826
30.11.2020 14:45;4.483333333;4.6;0.121810882;3.456919118;0.644300192;0.818891677
30.11.2020 15:23;5.116666667;5.6;0;2.50950552;0.552384585;0.536159827
30.11.2020 15:38;5.366666667;6.05;0;4.088959148;0.770913074;0.795549626
30.11.2020 15:59;5.716666667;6.45;0;3.531075773;0.54154478;0.684750672
30.11.2020 16:29;6.216666667;6.8;0;3.874431242;0.682808723;0.751038054
30.11.2020 17:00;6.733333333;7.5;0;3.568477323;0.65617943;0.743156322
30.11.2020 17:33;7.283333333;8.4;0;3.623148232;0.55916565;0.656002562
01.12.2020 08:36;22.33333333;28.1;0;0;0;0
01.12.2020 09:42;23.43333333;28.96666667;0;0;0;0
01.12.2020 10:22;24.1;29.26666667;0;0;0;0
01.12.2020 11:03;24.78333333;30.3;0;0;0;0
01.12.2020 12:03;25.78333333;29.86666667;0;0;0;0
