ts;t;cX;cS;cE;cGly;cP
14.12.2020 09:43;0;NA;NA;NA;NA;NA
14.12.2020 09:53;0.166666667;1.4;1.904070174;0;0;1.031748947
14.12.2020 10:04;0.35;1.65;2.177242966;0;0;1.053423708
14.12.2020 10:26;0.716666667;1.75;2.228172172;0;0.153356018;1.024220883
14.12.2020 10:50;1.116666667;2.1;2.086702154;0.619045254;0;0.961167032
14.12.2020 11:10;1.45;2.25;2.056121374;0.937281997;0.45185653;1.013408764
14.12.2020 11:33;1.833333333;2.65;1.574309374;1.329846025;0.497740088;0.950759105
14.12.2020 11:55;2.2;3;0.904206593;1.831851106;0.624798442;0.911198877
14.12.2020 12:14;2.516666667;3.45;0.369585579;2.121320976;0.636727177;0.875731085
14.12.2020 12:37;2.9;3.55;0.184031177;2.36644835;0.700825567;0.903216097
14.12.2020 13:02;3.316666667;4.25;0.142675421;2.513970773;0.428880103;0.882602338
14.12.2020 13:24;3.683333333;4.45;0.103028932;2.745117825;0.663950432;0.877095231
14.12.2020 14:27;4.733333333;5.7;0;2.252976161;0.576093565;0.791810856
14.12.2020 15:08;5.416666667;6.6;0;2.691683831;0.622076116;0.749067621
14.12.2020 16:00;6.283333333;8.55;0;2.287541008;0.410511831;0.656406754
14.12.2020 17:04;7.35;9.95;0;1.665631074;0.368142547;0.558440875
14.12.2020 17:24;7.683333333;10.75;0;1.341510588;0;0.550407572
14.12.2020 17:46;8.05;10.6;0;1.093981686;0;0.50680543
14.12.2020 18:20;8.616666667;13;0;0;0;0.476976108
15.12.2020 09:25;23.7;26.3;0;0;0;0
15.12.2020 10:46;25.05;29.9;0;0;0;0
15.12.2020 12:10;26.45;31.23333333;0;0;0;0
15.12.2020 13:23;27.66666667;30.83333333;0;0;0;0
15.12.2020 14:58;29.25;32.46666667;0;0;0;0
16.12.2020 09:23;47.66666667;41.03333333;0;0;0;0.855976233
16.12.2020 10:30;48.78333333;39.96666667;0;0;0;1.015581293
