ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.87 min;Peak 23.94 min;Peak 24.21 min;OD 600;OD standardabweichung;CDW_calc;RF [mg/L];RF standardabweichung;SampleVolume [g]
18.01.2022 16:33;0.1;24.71029463;0;6.81;;167780;;0.132;#DIV/0!;0.0484308;8.494252874;1.328518854;2.51
19.01.2022 07:52;15.42;24.02805648;1.204559198;7.75;;83962;;2.8815;0.120377531;1.05722235;90.11494253;1.760422786;1.74
19.01.2022 09:07;16.67;24.1122005;2.019117673;8.68;;;;4.968333333;0.088821919;1.8228815;150.045977;3.725468047;2.03
19.01.2022 10:14;17.78;20.89181519;2.92833988;8.55;;124750;;6.971;0.245758011;2.5576599;210.4482759;3.692554452;2.37
19.01.2022 11:40;19.22;17.98706872;4.090807062;8.49;65443;;;9.433333333;0.323643837;3.46109;296.0229885;9.834863206;3.74
19.01.2022 12:45;20.3;17.56358331;5.442428492;9.37;163920;;161120;13.56666667;0.292247042;4.97761;423.1609195;6.529757488;3.34
19.01.2022 13:42;21.25;17.28823878;7.327302078;10.61;298530;;225020;15.585;0.363145976;5.7181365;512.6436782;17.22096493;3.3
19.01.2022 14:51;22.4;10.31100063;6.337013763;7.92;360270;;145630;18.725;0.290129282;6.8702025;619.0804598;7.734316979;3.31
19.01.2022 15:47;23.33;7.232040477;6.270064938;7.2;492430;;184350;21.77;0.688531045;7.987413;745.7471264;9.741506458;3.11
20.01.2022 07:49;39.37;6.33015877;11.34059401;7.62;2804700;;467780;43.43;0.953886786;15.934467;1957.816092;63.0255156;3.43
20.01.2022 08:59;40.53;8.209375275;11.84032844;7.85;3125700;;466830;46.35333333;0.456106713;17.007038;2148.505747;4.379898594;3.07
20.01.2022 09:41;41.23;8.590196109;11.30595037;7.79;3125600;;507500;46.77666667;1.272255215;17.162359;2120.45977;88.46446268;3.56
20.01.2022 10:39;42.2;10.86524506;10.94825484;8.62;3543800;;593590;46.86666667;1.355888393;17.19538;2196.551724;15.51724138;3.22
20.01.2022 11:31;43.07;13.20745121;12.57737178;9.41;4043100;;775140;44.76666667;0.890748749;16.42489;2364.482759;96.05351758;2.43
20.01.2022 12:54;44.45;13.49030154;10.82873429;8.85;3463800;;778710;48.21;0.784792966;17.688249;2308.965517;28.66842716;2.99
20.01.2022 13:45;45.3;14.22824067;12.30715143;8.71;3312300;;807390;47.23;3.226654614;17.328687;2348.275862;49.1980878;2.51
20.01.2022 14:31;46.07;15.58481613;12.50375406;8.95;2905500;;930150;46.83;1.028931485;17.181927;2390.114943;4.379898594;3.49
20.01.2022 15:53;47.43;17.54027581;12.92034377;9.06;2793700;;1125700;45.43333333;0.361432336;16.66949;2337.931034;63.76234114;2.55
21.01.2022 07:56;63.48;23.33120176;20.64067789;8.67;1557000;;1930100;38.58333333;0.480138869;14.156225;2162.758621;96.75594166;2.79
21.01.2022 08:45;64.3;26.68392626;21.06073197;8.99;1665200;;1933800;38.22;1.542044098;14.022918;2263.448276;30.34482759;3.26
