PDatTime;Age;TEMP;JTEMP;STIRR;pH;pO2;AIRSP;MFC_B;MFC_C;MFC_D;VALVE_A;O2SP;VALVE_C;VALVE_D;PUMP_A;PUMP_B;SUBS_A;SUBS_B;SUBS_C;PUMPT_A;FOAMT;ACIDT;BASET;SUBST_A;SUBST_B;SUBST_C;VALVET_A;O2SPT;VALVET_C;VALVET_D;EXT_A;EXT_B;BALANCE_A;BALANCE_B;FLOW_A;REDOX;TURB;pHo;pO2o;EO2;ECO2;AIROV;N2SP;CO2SP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(°C);(°C);(rpm);(pH);(%sat);(lpm);(lpm);(lpm);(lpm);(%);(%);(%);(%);(%);(%);(%);(%);(%);(ml);(ml);(ml);(ml);(ml);(ml);(ml);(l);(l);(l);(l);(%);(%);(g);(kg);(g/h);(mV);(AU);(pH);(%sat);(%);(%);(lpm);(%);(lpm)
03.12.2020 09:49:43;0;31,395;33,255;700;5,362;97,91;0,4998;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,4998;0;0
03.12.2020 09:54:43;8,33333333333333E-02;31,695;32,68125;700;5,24449166666667;94,03475;0,500325;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;0,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500325;0;0
03.12.2020 09:59:43;0,166666666666667;32,0475;31,725;700;5,231475;90,3774166666667;0,50085;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;1,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
03.12.2020 10:04:43;0,25;32,1;31,905;700;5,237925;88,3691666666667;0,5007;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;2,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,5007;0;0
03.12.2020 10:09:43;0,333333333333333;32,1;32,0775;700;5,18970833333333;86,6911666666667;0,5007;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;3,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,5007;0;0
03.12.2020 10:14:43;0,416666666666667;32,0475;32,2275;700;5,20559166666667;85,17325;0,5007;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;4,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,5007;0;0
03.12.2020 10:19:43;0,5;31,995;32,1525;700;5,1784;83,9261666666667;0,50085;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;5,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
03.12.2020 10:24:43;0,583333333333333;31,995;31,95;700;5,209825;82,8029166666667;0,500925;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0;0;0;6,5;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500925;0;0
