ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.87 min;Peak 23.94 min;Peak 24.21 min;OD 600;OD standardabweichung;CDW_calc;RF [mg/L];RF standardabweichung;SampleVolume [g]
14.12.2021 16:55;0.2;32.78167363;0;11.20984321;;164940;;0.1193;#DIV/0!;0.04377117;10.62068966;#DIV/0!;4.93
15.12.2021 08:49;16.1;27.13007844;1.345410712;10.73758038;;96838;;2.690933333;0.020977448;0.98730344;47.42528736;0.966952956;4.85
15.12.2021 10:30;17.79;25.02903351;2.135075651;11.16618023;;80158;;3.203;2.774800714;1.1751807;169.4712644;1.734223376;6.19
15.12.2021 11:20;18.62;23.9359453;2.884028062;11.16818772;;87795;;5.958;0.16021548;2.1859902;205.8045977;3.764995122;4.1
15.12.2021 12:36;19.89;24.48646221;3.429180672;11.40306445;63009;151060;;7.434666667;0.292065632;2.7277792;266.6321839;2.966385866;4.17
15.12.2021 13:33;20.84;22.68886371;4.004294541;10.75564782;94516;;125640;4.366666667;0.164150338;1.60213;389.8850575;42.81466479;3.89
15.12.2021 14:27;21.74;22.41682134;4.578459768;10.69241178;92722;;;12.74;0.245153013;4.674306;419.8850575;16.1087761;4.23
15.12.2021 15:34;22.85;21.1152556;4.873487254;10.19154218;247630;;171270;14.97;1.271062548;5.492493;505.7471264;21.93475715;3.25
16.12.2021 08:09;39.44;16.28470624;6.727685987;9.522043123;2874900;;497120;39.73666667;1.781132598;14.579383;2210.574713;22.75949145;3.84
16.12.2021 09:29;40.77;22.41795642;8.906161984;1.295335124;4205100;;718660;42.11;2.366072695;15.450159;2377.471264;108.8936545;2.88
16.12.2021 10:38;41.92;20.22042915;7.793563691;11.34685463;3696800;;660860;42.28;1.36077184;15.512532;2459.770115;112.7587964;3.4
16.12.2021 12:08;43.42;19.22609346;7.222560602;10.47911561;3621200;;633030;46.29666667;1.073421321;16.986247;2686.551724;83.70436624;3.49
16.12.2021 13:25;44.7;19.71001863;7.734985082;10.50671864;3957800;;726370;46.46333333;0.53379147;17.047397;2944.482759;74.21167143;3.94
16.12.2021 14:42;45.99;19.90374005;8.655562539;11.73630836;4639900;;823880;48.67333333;1.632829854;17.858246;3204.252874;25.48304636;2.9
16.12.2021 16:05;47.37;17.25217821;8.424726457;10.47861373;4609600;;842610;57.49333333;3.283250422;21.094304;3255.632184;138.9001871;3.94
17.12.2021 08:21;63.64;0;3.252338099;9.812125921;5519700;;999510;49.59666667;0.222785397;18.197017;4351.724138;110.1830711;4.44
17.12.2021 09:30;64.79;0;4.116866658;9.949137346;5762200;;874310;52.41;1.426744546;19.229229;5251.724138;193.0110616;3.41
